"ID"	,"REG_NO"	,"CORP_NAME"
"1785"	,"320103000208507"	,南京海马印务有限公司
"11290"	,"913201910626499487"	,南京鹏华印刷有限公司
"11339"	,"9132011575414879XM"	,南京恒丰包装材料有限公司
"11350"	,"913201027739568561"	,南京速必得印务有限公司
"11386"	,"913201150707188867"	,南京瑞丰印务有限公司
"11385"	,"91320115070720580H"	,南京瑞玲珑印务有限公司
"11384"	,"91320115070717410F"	,南京宝佳印务有限公司
"11413"	,"91320111726076207E"	,南京铁运印刷厂
"11475"	,"320121000239584"	,南京凯都印务有限公司
"11484"	,"320113000191788"	,南京洲泰印刷有限公司
"11483"	,"91320104759466404P"	,南京金东南智能卡有限公司
"11511"	,"91320117790444174B"	,江苏金恒新型包装材料有限公司
"11510"	,"320124000027304"	,南京市溧水区红焰印刷厂
"11533"	,"320111000157208"	,南京广豪印刷有限责任公司
"11548"	,"320104000136327"	,南京鑫嘉泰标牌有限公司
"11555"	,"91320115694602128T"	,南京爱丽斯包装有限公司
"11622"	,"320104000073696"	,南京东奥印务有限公司
"11633"	,"91320106674945342W"	,南京四色数码科技有限公司
"11660"	,"913201110802811633"	,南京迅驰彩色印刷有限公司
"11719"	,"91320104088085394R"	,南京博大印务有限公司
"11739"	,"320113000042582"	,南京腾彬纸制品有限公司
"11764"	,"91320106084163017J"	,南京国兴盛印务有限公司
"11811"	,"91320106765273553J"	,南京飞狐文化广告传媒有限公司
"11881"	,"320125000088642"	,高淳县华鑫包装材料有限公司
"11899"	,"91320106302596006T"	,南京恒顺印刷有限责任公司
"11908"	,"320125000092439"	,南京淳康包装有限责任公司
"11962"	,"91320111762113001E"	,南京文瑞印务有限责任公司
"11993"	,"320104000173608"	,南京紫隆印务有限公司
"12021"	,"91320106302340502K"	,南京德亮印务有限公司
"12033"	,"320104000224327"	,南京博轩彩色印刷有限公司
"12040"	,"3201230000275052"	,南京德天包装材料有限公司
"12046"	,"320124000097612"	,南京金诺印务有限公司
"12047"	,"320124000201905070070"	,南京市溧水区奇美印刷厂
"12068"	,"320102000202001210070"	,南京华文实业有限公司
"12088"	,"91320115093892553M"	,南京鸿图印务有限公司
"12099"	,"91320106608948385A"	,南京图灵数码快印发展有限公司
"12102"	,"91320115093891825J"	,南京墨艺纸制品有限公司
"12133"	,"9132010609392608X5"	,南京美特图文制作有限公司
"12167"	,"320124000096610"	,南京高全包装材料有限公司
"12201"	,"320123000201607140143"	,南京同济彩色印刷有限公司
"12214"	,"91320116053288212P"	,南京葛瑞新材料有限公司
"12277"	,"91320115302748073N"	,南京苏博装订有限公司
"1357"	,"91320116682535909K"	,南京四方制桶有限公司
"1360"	,"320113000013771"	,南京千字文印务有限公司
"1361"	,"320125000108657"	,南京凯利丰印务有限公司
"1362"	,"320121000030563"	,南京旺福包装制品实业有限公司
"1433"	,"320100000085965"	,南京明枫彩色印务有限公司
"1621"	,"92320116MA1QWHTF06"	,南京市六合区双联印刷厂
"1589"	,"91320114704174754M"	,南京迅常印刷厂（普通合伙）
"1688"	,"320107000004244"	,南京北极金盾印刷厂
"1213"	,"91320115835631986Q"	,南京市江宁区海宁包装印刷有限公司
"1344"	,"320123000138023"	,南京宏宇包装材料有限公司
"1528"	,"91320113716257469X"	,南京凯达印刷厂
"1617"	,"92320116MA1QP1YX8R"	,南京市六合区诚联图文设计店
"1193"	,"913201147162806184"	,南京圣宝印务有限公司
"1220"	,"913201156089698056"	,南京三隆包装有限公司
"1249"	,"320102000075706"	,南京小森纸制品有限公司
"1356"	,"913201026904313847"	,南京璇坤彩色印刷有限公司
"1112"	,"913201927217444804"	,南京艺中印务有限公司
"1787"	,"320124000063871"	,南京溧水天源印务有限公司
"1525"	,"320113000051727"	,南京康明印艺中心
"1372"	,"913201145804526196"	,江苏新美亚印刷有限公司
"1373"	,"320125666202001020058"	,南京益昇印务有限公司
"1788"	,"91320114580461865T"	,南京恒天印务有限公司
"1790"	,"320104000117416"	,南京华春印刷有限公司
"1376"	,"91320115793736877G"	,南京乐高塑业有限公司
"1074"	,"91320113580460707F"	,南京斯马特数码印务有限公司
"10958"	,"913201175520863910"	,岸宝环保科技（南京）有限公司
"10977"	,"91320106698365342R"	,南京天马印刷有限公司
"10992"	,"91320115780653546U"	,南京海略防伪技术有限公司
"10997"	,"320123000181914"	,南京沃灵印刷包装有限公司
"11051"	,"913205815524957932"	,通达宏泰科技(苏州)有限公司
"11083"	,"91320118571557283Q"	,南京润京新材料科技有限公司
"11090"	,"913201150532589456"	,南京东湖印刷有限公司
"11139"	,"91320102589402802F"	,南京台城数字印刷有限公司
"11144"	,"320113000149173"	,南京建元印务有限公司
"11153"	,"913201157712816640"	,南京卡顿包装制品有限公司
"11178"	,"91320117575910195D"	,南京顶正包材有限公司
"11193"	,"91320117674910879L"	,南京鑫瑞包装有限公司
"11197"	,"913201155980370268"	,南京大贺开心印商务印刷有限公司
"11207"	,"91320104057968557B"	,南京宁成印务有限公司
"11240"	,"91320113062612731C"	,南京花盛印刷有限责任公司
"11247"	,"320125000104775"	,南京华强印刷有限公司
"12767"	,"91320104353290402M"	,南京宝德隆印刷有限公司 
"12768"	,"91320104698393378B"	,南京日强图文制作有限公司 
"12773"	,"91320113686706568J"	,南京六方包装制品有限公司
"12779"	,"91320115MA1ME6HH92"	,江苏欣家和包装材料有限公司 
"12790"	,"913201156637630685"	,南京盛嘉包装有限公司
"12833"	,"91320102589402917M"	,南京映思彩图文设计有限公司
"12832"	,"9132011578069572XR"	,南京精点装帧有限公司
"12847"	,"91320104MA1NJ8KM2X"	,南京月叶图文制作有限公司
"12915"	,"91320106MA1P4E2B4P"	,南京红杉树数字科技发展有限公司
"12932"	,"91320114MA1MYM7U4X"	,南京新豪彩包装服务有限公司
"12948"	,"91320115053284924B"	,南京强运包装制品有限公司 
"12961"	,"91320115MA1P83NN8N"	,南京彩易捷标签印刷有限公司
"13034"	,"91320192MA1MEYY12K"	,南京绿印包装设计有限公司
